========================================
  Benchmark istogramma OpenMP
  Wed Jun  3 20:33:23 CEST 2026
========================================

--- v1: main.c  [bin][tid] ---
=== main.c: layout [bin][tid] ===
len           threads  T.tot         T.par         T.red         speedup     efficiency
10000000      1        0.004522      0.004522      0.000000      1.000x      1.0000
10000000      2        0.030182      0.030182      0.000000      0.150x      0.0749
10000000      4        0.035432      0.035432      0.000000      0.128x      0.0319
10000000      8        0.072153      0.072153      0.000000      0.063x      0.0078
10000000      16       0.064102      0.064102      0.000000      0.071x      0.0044
10000000      32       0.030703      0.030703      0.000000      0.147x      0.0046
10000000      64       0.018669      0.018669      0.000000      0.242x      0.0038
10000000      128      0.018861      0.018861      0.000000      0.240x      0.0019
10000000      256      0.013568      0.013567      0.000000      0.333x      0.0013
10000000      512      0.027223      0.027223      0.000000      0.166x      0.0003
10000000      1024     0.041090      0.041090      0.000000      0.110x      0.0001
10000000      2048     0.051870      0.051870      0.000000      0.087x      0.0000
10000000      4096     0.105208      0.105208      0.000000      0.043x      0.0000

50000000      1        0.023753      0.023752      0.000000      1.000x      1.0000
50000000      2        0.074833      0.074833      0.000000      0.317x      0.1587
50000000      4        0.302258      0.302258      0.000000      0.079x      0.0196
50000000      8        0.195062      0.195062      0.000000      0.122x      0.0152
50000000      16       0.247263      0.247263      0.000000      0.096x      0.0060
50000000      32       0.077497      0.077497      0.000000      0.306x      0.0096
50000000      64       0.041459      0.041459      0.000000      0.573x      0.0090
50000000      128      0.033516      0.033516      0.000000      0.709x      0.0055
50000000      256      0.024301      0.024300      0.000000      0.977x      0.0038
50000000      512      0.045989      0.045989      0.000000      0.516x      0.0010
50000000      1024     0.043913      0.043913      0.000000      0.541x      0.0005
50000000      2048     0.044346      0.044346      0.000000      0.536x      0.0003
50000000      4096     0.105506      0.105506      0.000000      0.225x      0.0001

100000000     1        0.046062      0.046062      0.000000      1.000x      1.0000
100000000     2        0.279948      0.279948      0.000000      0.165x      0.0823
100000000     4        0.468891      0.468891      0.000000      0.098x      0.0246
100000000     8        0.559132      0.559132      0.000000      0.082x      0.0103
100000000     16       0.680241      0.680241      0.000000      0.068x      0.0042
100000000     32       0.167718      0.167718      0.000000      0.275x      0.0086
100000000     64       0.075867      0.075867      0.000000      0.607x      0.0095
100000000     128      0.050478      0.050478      0.000000      0.913x      0.0071
100000000     256      0.041683      0.041682      0.000000      1.105x      0.0043
100000000     512      0.080303      0.080302      0.000000      0.574x      0.0011
100000000     1024     0.071470      0.071470      0.000000      0.644x      0.0006
100000000     2048     0.068578      0.068578      0.000000      0.672x      0.0003
100000000     4096     0.091808      0.091808      0.000000      0.502x      0.0001

500000000     1        0.250555      0.250554      0.000000      1.000x      1.0000
500000000     2        1.913683      1.913682      0.000001      0.131x      0.0655
500000000     4        3.162981      3.162981      0.000000      0.079x      0.0198
500000000     8        4.062236      4.062235      0.000000      0.062x      0.0077
500000000     16       3.625109      3.625109      0.000000      0.069x      0.0043
500000000     32       1.749348      1.749348      0.000000      0.143x      0.0045
500000000     64       0.482569      0.482569      0.000000      0.519x      0.0081
500000000     128      0.247369      0.247369      0.000000      1.013x      0.0079
500000000     256      0.266089      0.266089      0.000000      0.942x      0.0037
500000000     512      0.217347      0.217346      0.000000      1.153x      0.0023
500000000     1024     0.188529      0.188529      0.000000      1.329x      0.0013
500000000     2048     0.171671      0.171670      0.000000      1.460x      0.0007
500000000     4096     0.266186      0.266185      0.000000      0.941x      0.0002


--- v2: main2.c [tid][bin] ---
=== main2.c: layout [tid][bin] (no false sharing) ===
len           threads  T.tot         T.par         T.red         speedup     efficiency
10000000      1        0.004292      0.004292      0.000000      1.000x      1.0000
10000000      2        0.008548      0.008548      0.000000      0.502x      0.2511
10000000      4        0.014163      0.014163      0.000000      0.303x      0.0758
10000000      8        0.013415      0.013415      0.000000      0.320x      0.0400
10000000      16       0.006751      0.006750      0.000000      0.636x      0.0397
10000000      32       0.003239      0.003239      0.000000      1.325x      0.0414
10000000      64       0.003335      0.003335      0.000000      1.287x      0.0201
10000000      128      0.003252      0.003252      0.000000      1.320x      0.0103
10000000      256      0.004579      0.004579      0.000000      0.937x      0.0037
10000000      512      0.006681      0.006681      0.000000      0.642x      0.0013
10000000      1024     0.013045      0.013045      0.000000      0.329x      0.0003
10000000      2048     0.020093      0.020093      0.000000      0.214x      0.0001
10000000      4096     0.045052      0.045051      0.000000      0.095x      0.0000

50000000      1        0.021256      0.021255      0.000000      1.000x      1.0000
50000000      2        0.046776      0.046776      0.000000      0.454x      0.2272
50000000      4        0.170033      0.170033      0.000000      0.125x      0.0313
50000000      8        0.060494      0.060493      0.000000      0.351x      0.0439
50000000      16       0.021309      0.021309      0.000000      0.997x      0.0623
50000000      32       0.016034      0.016034      0.000000      1.326x      0.0414
50000000      64       0.010503      0.010503      0.000000      2.024x      0.0316
50000000      128      0.008660      0.008660      0.000000      2.454x      0.0192
50000000      256      0.009403      0.009403      0.000000      2.261x      0.0088
50000000      512      0.010022      0.010022      0.000000      2.121x      0.0041
50000000      1024     0.012699      0.012699      0.000000      1.674x      0.0016
50000000      2048     0.023660      0.023660      0.000000      0.898x      0.0004
50000000      4096     0.039698      0.039697      0.000000      0.535x      0.0001

100000000     1        0.040059      0.040059      0.000000      1.000x      1.0000
100000000     2        0.065881      0.065881      0.000000      0.608x      0.3040
100000000     4        0.176413      0.176413      0.000000      0.227x      0.0568
100000000     8        0.061410      0.061409      0.000000      0.652x      0.0815
100000000     16       0.043992      0.043991      0.000000      0.911x      0.0569
100000000     32       0.028771      0.028771      0.000000      1.392x      0.0435
100000000     64       0.020541      0.020541      0.000000      1.950x      0.0305
100000000     128      0.015447      0.015447      0.000000      2.593x      0.0203
100000000     256      0.016837      0.016837      0.000000      2.379x      0.0093
100000000     512      0.016802      0.016802      0.000000      2.384x      0.0047
100000000     1024     0.023194      0.023194      0.000000      1.727x      0.0017
100000000     2048     0.029107      0.029107      0.000000      1.376x      0.0007
100000000     4096     0.048666      0.048666      0.000000      0.823x      0.0002

500000000     1        0.254135      0.254134      0.000000      1.000x      1.0000
500000000     2        0.405420      0.405419      0.000000      0.627x      0.3134
500000000     4        0.860860      0.860859      0.000000      0.295x      0.0738
500000000     8        0.437998      0.437998      0.000001      0.580x      0.0725
500000000     16       0.205067      0.205067      0.000000      1.239x      0.0775
